image,adult,medical,spoofed,violence,racy
/home/jaggu/nsfw_data_scraper/dataset/test/nk198htxc8v11.jpg,POSSIBLE,LIKELY,VERY_UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/lu7w2ikdgl501.jpg,LIKELY,POSSIBLE,LIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/2kedkkva9tn11.jpg,POSSIBLE,UNLIKELY,UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/bkiro6adaky01.jpg,VERY_LIKELY,VERY_LIKELY,VERY_UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/WqbBPAF.jpg,POSSIBLE,UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/6uwfn547it9z.jpg,VERY_LIKELY,UNLIKELY,UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/bpuv50dfkiw11.jpg,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,POSSIBLE
/home/jaggu/nsfw_data_scraper/dataset/test/jjyftliccc521.jpg,UNLIKELY,UNLIKELY,UNLIKELY,UNLIKELY,POSSIBLE
/home/jaggu/nsfw_data_scraper/dataset/test/2j4cvn1rhdf11.jpg,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,UNLIKELY,POSSIBLE
/home/jaggu/nsfw_data_scraper/dataset/test/tumblr_ocj5qi74TL1vnuhjso1_540.jpg,VERY_LIKELY,LIKELY,VERY_UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/UloF7iU.jpg,VERY_LIKELY,VERY_LIKELY,POSSIBLE,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/sa42ciwnl6t11.jpg,LIKELY,POSSIBLE,VERY_UNLIKELY,VERY_UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/ructo4b51u721.jpg,VERY_LIKELY,VERY_LIKELY,VERY_UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/qlsxh8pim7z11.jpg,POSSIBLE,POSSIBLE,VERY_UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/jne4rxl6qk601.jpg,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/7Li8Gp2.jpg,LIKELY,UNLIKELY,LIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/5ongg897aon11.jpg,VERY_LIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/pexnafsibfo11.jpg,VERY_LIKELY,VERY_LIKELY,UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/DmQxz.jpg,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/tumblr_ndhkfkwnTy1qc02w5o1_1280.jpg,VERY_LIKELY,UNLIKELY,UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/5dxlxicb9yz01.jpg,VERY_LIKELY,LIKELY,UNLIKELY,UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/sMOVgUc.jpg,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/SqdEgkO.jpg,LIKELY,UNLIKELY,UNLIKELY,UNLIKELY,LIKELY
/home/jaggu/nsfw_data_scraper/dataset/test/uwU0vWq.jpg,UNLIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY,POSSIBLE
/home/jaggu/nsfw_data_scraper/dataset/test/z17DAHI.jpg,VERY_LIKELY,LIKELY,VERY_UNLIKELY,UNLIKELY,VERY_LIKELY
